iter	Passed	Remaining
0	1	167
1	3	164
2	5	164
3	6	151
4	7	147
5	9	144
6	10	141
7	12	138
8	13	135
9	14	132
10	16	132
11	17	129
12	18	127
13	20	126
14	22	125
15	23	123
16	25	123
17	27	123
18	28	122
19	30	121
20	31	120
21	33	117
22	34	115
23	35	113
24	37	111
25	38	109
26	39	107
27	41	106
28	42	104
29	44	102
30	45	101
31	47	99
32	48	98
33	49	96
34	51	94
35	52	93
36	54	92
37	55	90
38	56	88
39	58	87
40	59	85
41	60	83
42	61	81
43	63	80
44	64	78
45	65	77
46	67	76
47	69	74
48	70	73
49	72	72
50	73	70
51	75	69
52	77	68
53	78	67
54	79	65
55	81	63
56	82	62
57	83	60
58	85	59
59	87	58
60	88	56
61	90	55
62	91	54
63	93	52
64	95	51
65	96	49
66	98	48
67	99	46
68	100	45
69	102	43
70	103	42
71	105	40
72	106	39
73	108	37
74	109	36
75	110	35
76	112	33
77	113	32
78	115	30
79	116	29
80	117	27
81	119	26
82	121	24
83	122	23
84	124	21
85	125	20
86	127	18
87	128	17
88	129	16
89	131	14
90	133	13
91	135	11
92	136	10
93	138	8
94	139	7
95	141	5
96	142	4
97	144	2
98	146	1
99	147	0
